neighborhood,clean_neighborhood
1025 Rue De La Commune .E,Ville-Marie
1450 Boul. René-Lévesque O.,Ville-Marie
1550 Filion,Saint-Lambert
2445 Chemin Sunset,Mont-Royal
3480 Rue Simpson,Ville-Marie
"Ahuntsic, Montréal",Ahuntsic
Cdn,Côte-Des-Neiges
Cité Mirabel,Mirabel
Côte De Terrebonne,Terrebonne
Côte-Des-Neiges,Côte-Des-Neiges
"Côte-Des-Neiges, Montréal",Côte-Des-Neiges
Dollard-Des-Ormeaux,Dollard-Des-Ormeaux
Dollards-Des-Ormeaux,Dollard-Des-Ormeaux
Dorval,Dorval
Downtown,Ville-Marie
Griffintown,Ville-Marie
Guy Metro,Ville-Marie
Homa,Hochelaga-Maisonneuve
Ile-Perrot,Ile-Perrot
Kirkland,Kirkland
Lachine,Lachine
Lasalle,Lasalle
Laurentides,Laurentides
Le Plateau,Le Plateau
Longueuil,Longueuil
Mcgill Ghetto,McGill Ghetto
Mcgill Ghetto - Montréal,McGill Ghetto
Mercier,Mercier
Metro University Of Montreal,Outremont
Metro Villa-Maria,Notre-Dame-de-Grâce
Mile End,Mile-End
Mile-End,Mile-End
Montreal,Ville-Marie
Montréal,Ville-Marie
Montréal Sud Ouest,Sud-Ouest
Métro:Côtes-Des-Neiges,Côte-Des-Neiges
"Ndg, Montreal",Notre-Dame-de-Grâce
Outremont,Outremont
Pierrefonds,Pierrefonds
Plateau,Le Plateau
Plateau Mont Royal,Le Plateau
Plateau Mont-Royal,Le Plateau
Pointe-St-Charles,Pointe-St-Charles
Quartier Des Spectacles,Ville-Marie
Rosemont,Rosemont
Rue St-Alexandre,Ville-Marie
Rue St-Dominique,Le Plateau
Saint-Lambert,Saint-Lambert
Saint-Laurent,Saint-Laurent
St Henri,Sud-Ouest
St-Henri,Sud-Ouest
Verdun,Sud-Ouest
Vieux-Montréal,Ville-Marie
Village,Ville-Marie
Ville-Marie,Ville-Marie
"Ville-Marie (Centre-Ville, Vieux-Montréal",Ville-Marie
Villeray,Villeray
